identifiedBy,Region,SiteCode,Date,Year,Agency,Collector,GPS,WP,Taxon,Genus,Family,functionalGroup,unknownSpecies,unknownGenus,unknownFamily,unknownFunctionalGroup,totalWeight,leafWeight,stemWeight,sampleGround,Sent,Notes
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,60,Harrimanella stelleriana,,Ericaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Harrimanella stelleriana,,Ericaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,229,Harrimanella stelleriana,,Ericaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,PS,JBER #1,231,Harrimanella stelleriana,,Ericaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,60,Kalmia procumbens,,Ericaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Kalmia procumbens,,Ericaceae,Dwarf shrub,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,60,Lichen,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Lichen,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,229,Lichen,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,230,Lichen,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,PS,JBER #1,231,Lichen,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,45,Luetkea pectinata,,Rosaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,60,Luetkea pectinata,,Rosaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,PS,JBER #1,231,Luetkea pectinata,,Rosaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,230,Lycopodium annotinum ssp. alpestre,,Lycopodiaceae,Ferns and Allies,N,N,N,N,,,,,,
ACCS,JBER,JB-01,8/20/19,2019,JBER,CB,JBER #1,30,Moss,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-01,8/19/19,2019,JBER,CB,JBER #1,31,Moss,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,45,Moss,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,60,Moss,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Moss,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,229,Moss,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,230,Moss,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,PS,JBER #1,231,Moss,,NA,Bryoid Herbacious,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Pedicularis,,Orobanchaceae,Forb,Y,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,60,Petasites sagittatus,,Asteraceae,Forb,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Potentilla,,Rosaceae,Forb,Y,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Potentilla,,Rosaceae,Forb,Y,N,N,N,,,,,,
ACCS,JBER,JB-01,8/20/19,2019,JBER,CB,JBER #1,30,Potentilla biflora,,Rosaceae,Forb,Y,Y,N,N,,,,,,
ACCS,JBER,JB-01,8/19/19,2019,JBER,CB,JBER #1,31,Potentilla biflora,,Rosaceae,Forb,Y,Y,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,60,Potentilla biflora,,Rosaceae,Forb,Y,Y,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Potentilla biflora,,Rosaceae,Forb,Y,Y,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,PS,JBER #1,231,Potentilla biflora,,Rosaceae,Forb,Y,Y,N,N,,,,,,
ACCS,JBER,JB-01,8/20/19,2019,JBER,CB,JBER #1,30,Potentilla uniflora,,Rosaceae,Forb,Y,Y,N,N,,,,,,
ACCS,JBER,JB-01,8/19/19,2019,JBER,CB,JBER #1,31,Potentilla uniflora,,Rosaceae,Forb,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,60,Potentilla uniflora,,Rosaceae,Forb,Y,Y,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Potentilla uniflora,,Rosaceae,Forb,Y,Y,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,104,Potentilla uniflora,,Rosaceae,Forb,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,229,Potentilla uniflora,,Rosaceae,Forb,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,230,Potentilla uniflora,,Rosaceae,Forb,Y,Y,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Rhododendron tomentosum,,Ericaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-01,8/20/19,2019,JBER,CB,JBER #1,30,Salix,,Salicaeae,NA,Y,N,N,N,,,,,,
ACCS,JBER,JB-01,8/19/19,2019,JBER,CB,JBER #1,31,Salix,,Salicaeae,NA,Y,N,N,N,,,,,,
ACCS,JBER,JB-01,8/19/19,2019,JBER,CB,JBER #1,31,Salix rotundifolia,,Salicaeae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,60,Salix rotundifolia,,Salicaeae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Salix rotundifolia,,Salicaeae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,229,Salix rotundifolia,,Salicaeae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,230,Salix rotundifolia,,Salicaeae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-01,8/19/19,2019,JBER,CB,JBER #1,31,Saxifraga,,Saxifragaceae,Forb,Y,Y,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,229,Saxifraga funstonii,,Saxifragaceae,Forb,N,N,N,N,,,,,,
ACCS,JBER,JB-01,8/20/19,2019,JBER,CB,JBER #1,30,Scraps,,NA,NA,NA,NA,NA,NA,,,,,,
ACCS,JBER,JB-01,8/19/19,2019,JBER,CB,JBER #1,31,Scraps,,NA,NA,NA,NA,NA,NA,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,45,Scraps,,NA,NA,NA,NA,NA,NA,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,60,Scraps,,NA,NA,NA,NA,NA,NA,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Scraps,,NA,NA,NA,NA,NA,NA,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,104,Scraps,,NA,NA,NA,NA,NA,NA,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,229,Scraps,,NA,NA,NA,NA,NA,NA,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,230,Scraps,,NA,NA,NA,NA,NA,NA,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,PS,JBER #1,231,Scraps,,NA,NA,NA,NA,NA,NA,,,,,,
ACCS,JBER,JB-01,8/19/19,2019,JBER,CB,JBER #1,31,Shrub,,NA,NA,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Shrub,,NA,NA,Y,Y,Y,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,45,Sibbaldia procumbens,,Rosaceae,Forb,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,PS,U49,229,Sibbaldia procumbens,,Rosaceae,Forb,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,PS,JBER #1,231,Sibbaldia procumbens,,Rosaceae,Forb,N,N,N,N,,,,,,
ACCS,JBER,JB-01,8/20/19,2019,JBER,CB,JBER #1,30,Vaccinium uliginosum,,Ericaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-01,8/19/19,2019,JBER,CB,JBER #1,31,Vaccinium uliginosum,,Ericaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,60,Vaccinium uliginosum,,Ericaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Vaccinium uliginosum,,Ericaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,JBER,CB,JBER #1,60,Vaccinium vitis-idaea,,Ericaceae,Dwarf shrub,N,N,N,N,,,,,,
ACCS,JBER,JB-02,8/20/19,2019,ACCS,JW,U45,100,Vaccinium vitis-idaea,,Ericaceae,Dwarf shrub,N,N,N,N,,,,,,
